"Date","Price","Open","High","Low","Vol.","Change %"
"16/05/2025","138.66","139.28","139.42","138.66","76.68K","0.76%"
"15/05/2025","137.62","137.78","137.93","137.31","83.42K","0.31%"
"14/05/2025","137.19","137.28","137.78","136.60","111.77K","-0.03%"
"13/05/2025","137.23","138.01","138.19","136.85","121.95K","1.48%"
"12/05/2025","135.23","135.34","135.50","135.16","118.58K","0.54%"
"09/05/2025","134.50","134.17","134.90","134.14","106.03K","0.58%"
"08/05/2025","133.72","132.76","133.96","132.76","111.22K","1.10%"
"07/05/2025","132.26","132.28","132.53","132.01","87.25K","-0.38%"
"06/05/2025","132.76","132.92","133.07","132.56","75.03K","0.18%"
"05/05/2025","132.52","133.21","133.46","132.22","93.67K","-0.54%"
"02/05/2025","133.24","132.78","133.60","132.64","73.41K","0.05%"
"01/05/2025","133.18","132.61","133.47","132.61","150.40K","1.34%"
"30/04/2025","131.42","132.03","132.25","131.21","101.80K","0.22%"
"29/04/2025","131.13","130.98","131.48","130.82","90.78K","0.36%"
"28/04/2025","130.66","130.97","131.18","130.34","152.51K","1.60%"
"24/04/2025","128.60","128.83","129.11","128.42","340.67K","0.70%"
"23/04/2025","127.71","128.58","128.74","127.54","225.55K","3.41%"
"22/04/2025","123.50","126.31","127.00","123.30","278.73K","-3.20%"
"17/04/2025","127.58","126.29","127.58","125.80","230.17K","0.54%"
"16/04/2025","126.89","127.89","127.89","126.59","176.86K","-0.87%"
"15/04/2025","128.01","128.95","129.00","127.55","108.94K","-0.88%"
"14/04/2025","129.15","128.74","129.47","128.61","128.40K","-0.02%"
"11/04/2025","129.17","126.58","129.17","125.34","253.69K","-1.52%"
"10/04/2025","131.16","133.00","133.85","130.56","298.99K","5.96%"
"09/04/2025","123.78","126.00","126.00","122.80","317.69K","-2.37%"
"08/04/2025","126.79","127.50","128.65","126.51","457.48K","2.95%"
"07/04/2025","123.16","123.50","124.92","122.40","465.18K","-4.90%"
"04/04/2025","129.51","130.00","130.00","128.35","257.12K","-1.96%"
"03/04/2025","132.10","132.00","132.30","130.72","192.22K","-1.23%"
"02/04/2025","133.74","134.41","134.55","133.70","100.44K","-0.16%"
"01/04/2025","133.95","134.22","134.54","133.70","176.43K","-0.28%"
"31/03/2025","134.32","134.67","134.74","133.93","131.10K","-2.23%"
